URI,Album,Song Name,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
1BxfuPKGuaTgP7aM0Bbdwr,Lover,Cruel Summer,1,2,99,False,0.552,0.7020000000000001,9,-5.7070000000000025,1,0.157,0.11699999999999999,2.0600000000000006e-05,0.105,0.564,169.99400000000003,178427,4
0V3wPSX9ygBnCm8psDIegu,Midnights,Anti-Hero,1,3,93,False,0.637,0.643,4,-6.5710000000000015,1,0.0519,0.13,1.8000000000000001e-06,0.142,0.5329999999999999,97.008,200690,4
1Iq8oo9XkmmvCQiGOfORiz,1989,Is It Over Now?,1,21,92,False,0.596,0.6579999999999999,0,-7.346,1,0.036000000000000004,0.0504,0.0,0.127,0.17600000000000002,100.012,229478,4
3hUxzQpSfdDqwM3ZTFQY0K,folklore,august,1,8,92,False,0.532,0.623,5,-9.208,1,0.0331,0.5379999999999999,7.28e-05,0.0925,0.40299999999999997,89.93700000000004,261923,4
1R0a2iXumgCiFb7HEZ7gUE,Reputation,Don't Blame Me,1,4,91,False,0.615,0.534,9,-6.718999999999999,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413,4
1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,1,3,91,False,0.359,0.5429999999999999,7,-7.5820000000000025,1,0.0919,0.4920000000000001,1.58e-05,0.11800000000000001,0.45299999999999996,68.53399999999999,221307,4
4R2kfaDFhslZEMJqAFNpdd,folklore,cardigan,1,2,91,False,0.613,0.581,0,-8.588,0,0.0424,0.537,0.00034500000000000004,0.25,0.551,130.033,239560,4
7KokYm8cMIXCsGVmUvKtqf,Midnights,Karma,1,11,89,True,0.642,0.62,8,-7.091,1,0.0666,0.0734,0.0,0.483,0.0969,90.02,204852,4
71BqAINEnezjQfxE4VuJfq,1989,"""Slut!""",1,17,89,False,0.629,0.413,7,-13.177999999999999,1,0.055,0.345,7.62e-05,0.0603,0.306,77.983,180381,4
5KD6AEm19QnMbfWpfoOHMl,1989,Now That We Don't Talk,1,19,88,False,0.7929999999999999,0.512,0,-9.318999999999999,1,0.0338,0.18600000000000005,3.81e-05,0.0889,0.0662,109.994,146437,4
5kHMfzgLZP95O9NBy0ku4v,Speak Now,I Can See You,1,19,88,False,0.6940000000000001,0.764,6,-4.893,1,0.0337,0.0586,0.0,0.0608,0.8190000000000001,123.044,273186,4
3sW3oSbzsfecv9XoUdGs7h,Speak Now,Enchanted,1,9,88,False,0.505,0.532,8,-3.5260000000000002,1,0.0265,0.012,0.0,0.149,0.21600000000000005,81.907,353253,4
5enxwA8aAbwZbf5qCHORXi,Red,All Too Well (10 Minute Version),1,30,87,True,0.631,0.518,0,-8.771,1,0.0303,0.27399999999999997,0.0,0.08800000000000001,0.205,93.023,613027,4
6NFyWDv5CjfwuzoCkw47Xf,Reputation,Delicate,1,5,87,False,0.75,0.40399999999999997,9,-10.177999999999999,0,0.0682,0.21600000000000005,0.000357,0.0911,0.0499,95.045,232253,4
